Basic Terms,10 - ten,sepuluh,,10 - တဆယ်,10 - десет,十,,Anim,Dix,十,ដប់,10 - zehn,10 - દસ,,עֶשֶׂר,,10 - दस,10 - dieci,10 - 십,sepuluh,10 - ສິບ,,10 - दहा,10 - दस,ਦਸ,10 - dez,10 - десять,,10 - diez,,கைகள் ,10 - పది,สิบ,10 - on,10 - Mười,
Basic Terms,0 - zero,nol,,0 င် - သုည,0 - нула,零,,Pito,Zéro,ゼロ,សូន,0 - Null,0 - શૂન્ય,,אֶפֶס,,0 - शून्य,0 - pari a zero,0 - 공,kosong,0 - ສູນ,,0 - शून्य,0 - शून्य,ਜ਼ੀਰੋ,0 - ZERO,0 - ноль,,0 - cero,,கால்கள்,0 - సున్నా,ศูนย์,0 - sıfır,0 - Không,
Basic Terms,January,Januari ,,ဇန္နဝါရီလ,януари,一月 ,,Walo,janvier,一月,មករា,Januar,જાન્યુઆરી,,יָנוּאָר,,जनवरी,gennaio,일월/1월,Januari,ມັງກອນ,,जानेवारी,जनवरी,ਜਨਵਰੀ,janeiro,январь,,enero,,பாதங்கள்,జనవరి,มกราคม,Ocak,Tháng Một,
Basic Terms,February,Februari,,ဖေဖေါ်ဝါရီလ,февруари,二月,,Siyam,Février,二月,កុម្ភៈ,Februar,ફેબ્રુઆરી,,פֶבְּרוּאָר,,फ़रवरी,febbraio,이월/2월,Februari,ກຸມພາ,,फेब्रुवारी,फरवरी,ਫਰਵਰੀ,fevereiro,февраль,,febrero,,1 - ஒன்று,ఫిబ్రవరి,กุมภาพันธ์,Şubat,Tháng Hai,
Basic Terms,March,Maret,,မတ်လ,март,三月,,Sampu,Mars,三月,មីនា,März,માર્ચ,,מֵרְץ,,मार्च,marzo,삼월/3월,Mac,ມີນາ,,मार्च,मार्च,ਮਾਰਚ,marcha,Март,,marzo,,2 - இரண்டு,మార్చి,มีนาคม,Mart,Tháng Ba,
Basic Terms,April,April,,ဧပြီလ,април,四月,,Zero,Avril,四月,ខែមេសា,April,એપ્રિલ,,אַפְּרִיל,,अप्रैल,aprile,사월/4월,April,ເມສາ,,एप्रिल,अप्रिल,ਅਪ੍ਰੈਲ,abril,апрель,,abril,,3 - மூன்று,ఏప్రిల్,เมษายน,Nisan,Tháng Tư,
Basic Terms,May,Mei,,မေလ,май,五月,,Enero,Mai,五月,ឧសភា,Kann,મે,,מַאי,,मई,Maggio,오월/5월,Mei,ພຶດສະພາ,,मे,सक्छ,ਮਈ,Pode,май,,Mayo,,4 - நான்கு,మే,พฤษภาคม,Mayıs,Tháng Năm,
Basic Terms,June,Juni,,ဇွန်လ,юни,六月,,Pebrero,Juin,六月,មិថុនា,Juni,જૂન,,יוּנִי,,जून,giugno,유월/6월,Jun,ມິຖຸນາ,,जून,जुन,ਜੂਨ,Junho,июнь,,junio,,5 - ஐந்து,జూన్,มิถุนายน,Haziran,Tháng Sáu,
Basic Terms,July,Juli,,ဇူလိုင်လ,юли,七月,,Marso,Juillet,七月,ខែកក្កដា,Juli,જુલાઈ,,יוּלִי,,जुलाई,luglio,칠월/7월,Julai,ກໍລະກົດ,,जुलै,जुलाई,ਜੁਲਾਈ,Julho,июль,,julio,,6 - ஆறு,జూలై,กรกฎาคม,Temmuz,Tháng Bảy,
Basic Terms,August,Agustus,,သြဂုတ်လ,август,八月,,Abril,Août,八月,សីហា,August,ઓગસ્ટ,,אוֹגוּסְט,,अगस्त,agosto,팔월/8월,Ogos,ສິງຫາ,,ऑगस्ट,अगस्ट,ਅਗਸਤ,agosto,август,,agosto,,7 - ஏழு,ఆగస్టు,สิงหาคม,Ağustos,Tháng Tám,
Basic Terms,September,September,,စက်တင်ဘာလ,септември,九月,,Mayo,Septembre,九月,ខែកញ្ញា,September,સપ્ટેમ્બર,,סֶפְּטֶמְבֶּר,,सितंबर,settembre,구월/9월,September,ກັນຍາ,,सप्टेंबर,सेप्टेम्बर,ਸਤੰਬਰ,setembro,сентябрь,,septiembre,,8 - எட்டு,సెప్టెంబర్,กันยายน,Eylül,Tháng Chín,
Basic Terms,October,Oktober,,အောက်တိုဘာလ,октомври,十月,,Hunyo,Octobre,十月,តុលា,Oktober,ઓક્ટોબર,,אוֹקְטוֹבֶּר,,अक्टूबर,ottobre,십월/10월,Oktober,ຕຸລາ,,ऑक्टोबर,अक्टोबर,ਅਕਤੂਬਰ,Outubro,октябрь,,octubre,,9 - ஒன்பது,అక్టోబర్,ตุลาคม,Ekim,Tháng Mười,
Basic Terms,November,November,,နိုဝင်ဘာလ,ноември,十一月,,Hulyo,Novembre,十一月,វិច្ឆិកា,November,નવેમ્બર,,נוֹבֶמְבֶּר,,नवंबर,novembre,십일월/11월,November,ພະຈິກ,,नोव्हेंबर,नोभेम्बर,ਨਵੰਬਰ,novembro,ноябрь,,noviembre,,10 - பத்து,నవంబర్,พฤศจิกายน,,Tháng Mười một,
Basic Terms,December,Desember,,ဒီဇင်ဘာလ,декември,十二月,,Agosto,Décembre,十二月,ធ្នូ,Dezember,ડિસેમ્બર,,דֵּצֶמְבֶּר,,दिसंबर,dicembre,십이월/12월,Disember,ທັນວາ,,डिसेंबर,डिसेम्बर,ਦਸੰਬਰ,dezembro,Декабрь,,diciembre,,0 - பூஜ்யம்,డిసెంబర్,ธันวาคม,,Tháng Mười hai,
Medical Instructions,You have tested positive for coronavirus.,,,,,,,Setyembre,,,,,,,,,,,,,,,,,,,Русский,,,,ஜனவரி,,,,,
Medical Instructions,We will take you to the hospital.,,,,,,,Oktubre,,,,,,,,,,,,,,,,,,,,,,,பிப்ரவரி,,,,,
Medical Instructions,We will transfer to you an isolation facility.,,,,,,,Nobyembre,,,,,,,,,,,,,,,,,,,,,,,மார்ச்,,,,,
Medical Conditions,How do you feel emotionally? (Use thumbs up and down),,,,,,,Disyembre,,,,,,,,,,,,,,,,,,,,,,,ஏப்ரல்,,,,,
Greetings,"In case of an emergency, who is the next-of-kin that I should contact? What is their contact number?",,,,,,,,,,,Guten Morgen,,,,,,,,,ສະບາຍດີຕອນເຊົ້າ,,,,,,,,,,மே,,,,,
Greetings,Good morning,Selamat pagi,,,,,,,,,,Guten Tag,,,,,,,,,ສະບາຍດີຕອນບ່າຍ,,,,,,,,,,ஜூன்,,,,,
Greetings,Good afternoon,Selamat siang,,,Добро утро,,,,,,,Guten Abend,,,,,,,,,ສະບາຍດີຕອນແລງ,,,,,,,,,,ஜூலை,,,,,
Greetings,Good evening,Selamat malam,,,Добър ден,,,,,,,,,,,,,,,,,,,,,,,,,,ஆகஸ்ட்,,,,,
Greetings,You are in ICU,,,,Добър вечер,,,,,,,,,,,,,,,,,,,,,,,,,,செப்டம்பர்,,,,,
Greetings,You are getting better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,அக்டோபர்,,,,,
Symptoms,Any shivering?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,நவம்பர்,,,,,
Symptoms,Any muscle pain? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,டிசம்பர்,,,,,
Symptoms,Any headache? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,1. What is COVID-19? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"COVID-19 (more specifically, a coronavirus) is the disease identified as the cause of an outbreak of respiratory illness first detected in Wuhan, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,2. What are the symptoms of COVID-19?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"The most common symptoms are fever, tiredness and dry cough. Some patients also have runny nose, sore throat or diarrhoea. These symptoms are usually mild and begin gradually.
Some people become infected but remain asymptomatic.
It can however, also cause lung infection, or pneumonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,3. How does COVID-19 spread?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"People can catch COVID-19 from others who have the virus. The virus spreads via respiratory droplets (sharing saliva, utensils, being in close contact or through direct contact with droplets on surfaces and materials).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,4. What is the test for COVID-19 like?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"It is a swab test inserted in your nostril or at the back of your throat. It will last about 10 seconds. There might be a slight discomfort, however it is not significantly painful.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,5. What happens if I am tested positive for COVID-19?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"Arrangements will be made for you to be warded or sent to a community isolation facility, to be placed under observation. You will be observed for deterioration. You might require X-Rays and blood tests as well. Repeated testing of your respiratory samples (via nose or throat) will be done on a regular basis, usually 24 hours apart. If you test negative twice consecutively, you can be discharged back to your home/dorm to continue 2 weeks of isolation at home.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,6. Will I die from COVID-19?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"It is normal to worry about how COVID-19 might affect you or your loved ones. In 80% of cases, infections from COVID-19 are usually mild and do not even need any treatment. There is a chance of deterioration due to the virus, which happens more commonly in the elderly population or in those with significant pre-existing medical conditions. Only 5% of patients will require ICU care including breathing support or medications to support their blood pressure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,7. Is there a treatment for COVID-19?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"Most cases of COVID-19 infections do not require any treatment, and only require medications to alleviate symptoms. There is currently no established treatment for the 5% of patients with severe disease, however there are many clinical trials ongoing which have shown variable success. Even though there is no established treatment, if you do develop severe disease, you will still receive breathing support and will be given medications to support your blood pressure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,8. How much do I have to pay for my treatment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"As of Singapore Government's announcement on 7 March 2020, if you are a Singapore Citizen, Singapore resident OR a long term pass holder, your hospital bill will be covered by the Government. This does not apply if you have left Singapore after 27 March 2020 and you are admitted as a suspected COVID-19 case within 14 days of returning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,9. I am worried about missing so much work. Will my boss fire me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"Your employer is legally mandated to allow your quarantine/treatment. Your employer is also legally bound to continue to pay your salaries even if you are not allowed to leave your dormitory during this Circuit Breaker period. If your employer does not pay your salary within 7 days of the end of the salary period, he can be prosecuted by the Singapore Government.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,10. I am scared and I want to go home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"It is natural to be scared and anxious during this period. For the safety of your family, it is imperative that you follow the instructions given to you by your doctors and the Government. The Singapore Government has made arrangements for you so that we can safely treat you, if you test positive for COVID-19, while protecting others. Singapore has good hospitals and treatment here and will endeavour to give you the best medical care possible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,11. How can I make sure I do not get infected with COVID-19?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAQ,"Fortunately, there are some preventive measures you can take to minimise the risk of infection. They are:
1. Thoroughly washing your hands with soap and water for at least 20 seconds.
2. Avoid touching eyes, nose and mouth.
3. Covering your mouth and nose with your elbow or tissue when you cough or sneeze.
4. Maintaining at least 1 metre distance between yourself and anyone else.
5. Staying indoors if you feel unwell and keep isolated from others. If you develop fever, cough or breathlessness, please seek medical attention early.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,Drug Allergy Information:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,Do you have any drug allergies?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,Do you know the name of the drug?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,What is the drug used for?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,"What sort of reaction did you have? 
E.g. swelling of face, lips, throat; rashes or itching; anaphylaxis (allergic reaction) or shortness of breath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,Any food allergies? Specifically chicken or egg allergies (relevant for vaccines),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,"Medication Reconciliation:
Do you have any chronic medications / medications that you take every day?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,How many chronic medications?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,For each medication:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,How many tablets each time?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,How many times a day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,How many milligrams (mg)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,Where do you get your medications from?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,Do you take any vitamins or health supplements?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacist Phrases,Do you take any traditional medicines?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
